City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
east london,-33.0153,27.9116,296.28,47,78,2.2,ZA,1650587150
atuona,-9.8,-139.0333,299.5,79,10,6.53,PF,1650587130
ust-ishim,57.6935,71.1665,265.81,73,45,3.93,RU,1650587461
tocopilla,-22.092,-70.1979,292.34,78,46,3.72,CL,1650587461
porto belo,-27.1578,-48.5531,296.07,85,100,4.66,BR,1650587462
kahului,20.8947,-156.47,303.16,56,40,9.77,US,1650587150
ushuaia,-54.8,-68.3,277.96,81,75,6.17,AR,1650586895
souillac,-20.5167,57.5167,297.36,88,75,3.09,MU,1650587142
punta arenas,-53.15,-70.9167,279.88,75,75,2.57,CL,1650587116
gimli,50.6336,-96.9907,273.16,80,99,2.06,CA,1650587225
tutoia,-2.7619,-42.2744,298.15,91,48,4.06,BR,1650587463
barentsburg,,,,,,,,
busselton,-33.65,115.3333,287.62,66,0,6.05,AU,1650587109
puerto ayora,-0.7393,-90.3518,296.32,87,38,3.54,EC,1650587132
marzuq,14.4,46.4667,293.26,35,36,2.71,YE,1650587463
necochea,-38.5473,-58.7368,287.67,48,70,4.11,AR,1650587144
hilo,19.7297,-155.09,303.86,74,75,6.17,US,1650586975
bredasdorp,-34.5322,20.0403,288.29,84,36,2.1,ZA,1650587126
tuktoyaktuk,69.4541,-133.0374,258.15,85,20,3.6,CA,1650587122
marcona,,,,,,,,
puerto leguizamo,-0.1934,-74.7819,295.31,98,27,0.96,CO,1650587464
vila velha,-20.3297,-40.2925,296.45,89,40,1.54,BR,1650587099
ayan,56.45,138.1667,271.84,87,99,2.83,RU,1650587464
campbell river,50.0163,-125.2446,281.36,93,100,3.6,CA,1650587465
misratah,32.3754,15.0925,292.58,68,23,6.54,LY,1650587257
meulaboh,4.1363,96.1285,299.31,85,93,1.65,ID,1650587465
taolanaro,,,,,,,,
lebu,-37.6167,-73.65,285.41,97,100,1.03,CL,1650586867
hobart,-42.8794,147.3294,287.18,60,75,4.12,AU,1650586845
albany,42.6001,-73.9662,285.88,54,100,0.45,US,1650587028
new norfolk,-42.7826,147.0587,286.99,47,85,1.25,AU,1650587155
astana,51.1801,71.446,275.12,87,75,5,KZ,1650587274
rawson,-43.3002,-65.1023,285.35,80,100,6.66,AR,1650587212
samusu,,,,,,,,
avarua,-21.2078,-159.775,300.18,57,20,7.72,CK,1650587133
norman wells,65.282,-126.8329,273.17,47,75,5.14,CA,1650587208
cape town,-33.9258,18.4232,289.88,89,75,3.6,ZA,1650586838
vaitupu,,,,,,,,
micheweni,-4.9667,39.8333,299.56,79,100,3.61,TZ,1650587467
mehamn,71.0357,27.8492,277,96,100,7.34,NO,1650587259
jamestown,42.097,-79.2353,286.03,55,0,5.66,US,1650587114
aripuana,-9.1667,-60.6333,295.84,99,97,0.48,BR,1650587467
mecca,21.4267,39.8261,300.25,53,8,0.75,SA,1650587468
bambous virieux,-20.3428,57.7575,298.27,88,75,3.09,MU,1650587155
amderma,,,,,,,,
san quintin,30.4833,-115.95,290.19,70,49,9.04,MX,1650587185
bengkulu,-3.8004,102.2655,298,85,90,2.19,ID,1650587111
bethel,41.3712,-73.414,284.83,68,100,0.89,US,1650587123
port alfred,-33.5906,26.891,290.47,96,25,1.34,ZA,1650587119
khatanga,71.9667,102.5,258.76,94,86,3.79,RU,1650587114
butaritari,3.0707,172.7902,300.62,77,57,6.1,KI,1650586846
nikolskoye,59.7035,30.7861,278.6,91,7,1.35,RU,1650587141
mao,39.8885,4.2658,286.46,88,75,5.66,ES,1650587469
upernavik,72.7868,-56.1549,261.7,88,99,4.43,GL,1650587117
monrovia,6.3005,-10.7969,299.02,85,100,3.46,LR,1650587469
esso,55.9333,158.7,271.85,74,94,2.82,RU,1650587470
maymanak,,,,,,,,
matagami,49.7502,-77.6328,276.21,87,100,4.63,CA,1650587190
mar del plata,-38.0023,-57.5575,289.19,57,0,3.6,AR,1650587123
gat,31.61,34.7642,289.48,73,90,1.54,IL,1650587128
pisco,-13.7,-76.2167,292.18,82,0,9.77,PE,1650587470
ribeira grande,38.5167,-28.7,287.22,68,100,7.8,PT,1650587145
glendive,47.1053,-104.7125,282.31,53,0,9.77,US,1650587471
chicama,-7.8447,-79.1469,290.45,73,60,3.22,PE,1650587217
tarko-sale,64.9225,77.785,256.25,97,76,1.79,RU,1650587471
rikitea,-23.1203,-134.9692,294.81,85,100,4.65,PF,1650586846
krivosheino,57.3431,83.9261,273.24,96,100,4.11,RU,1650587472
tiksi,71.6872,128.8694,264.53,92,99,2.3,RU,1650587170
shingu,33.7333,135.9833,295.25,61,15,2.2,JP,1650587472
vostok,46.4856,135.8833,286.9,41,100,2.86,RU,1650587473
bud,39.447,-86.1758,292.12,74,100,1.41,US,1650587473
georgetown,5.4112,100.3354,301.11,89,20,2.06,MY,1650586892
cabo san lucas,22.8909,-109.9124,301.21,56,4,3.58,MX,1650587126
saint-philippe,-21.3585,55.7679,296.92,88,69,5.09,RE,1650587110
chuy,-33.6971,-53.4616,289.14,88,62,2.82,UY,1650586964
nsanje,-16.92,35.262,295.05,98,100,1.72,MW,1650587474
codrington,-38.2667,141.9667,287.29,61,100,6.07,AU,1650586881
attawapiskat,,,,,,,,
sitka,57.0531,-135.33,282.09,66,40,4.12,US,1650587194
kapaa,22.0752,-159.319,300.14,92,100,9.26,US,1650587113
dargaville,-35.9333,173.8833,293.04,80,51,7.99,NZ,1650587475
