City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
east london,-33.0153,27.9116,294.69,74,100,4.99,ZA,1650591698
atuona,-9.8,-139.0333,299.43,80,11,6.27,PF,1650591773
ust-ishim,57.6935,71.1665,266.47,63,64,5.27,RU,1650591773
tocopilla,-22.092,-70.1979,292.04,78,43,3.45,CL,1650591727
porto belo,-27.1578,-48.5531,296.07,87,100,4.19,BR,1650591773
kahului,20.8947,-156.47,301.16,64,40,10.8,US,1650590951
ushuaia,-54.8,-68.3,277.96,81,75,5.14,AR,1650591491
souillac,-20.5167,57.5167,297.36,88,40,2.06,MU,1650591472
punta arenas,-53.15,-70.9167,279.21,75,75,1.54,CL,1650591549
gimli,50.6336,-96.9907,272.16,80,100,2.06,CA,1650591774
tutoia,-2.7619,-42.2744,298.03,91,45,3.98,BR,1650591774
barentsburg,,,,,,,,
busselton,-33.65,115.3333,292.1,48,0,6.81,AU,1650591741
puerto ayora,-0.7393,-90.3518,295.75,92,22,3.33,EC,1650591679
marzuq,14.4,46.4667,292.96,32,21,2.65,YE,1650591775
necochea,-38.5473,-58.7368,288.92,44,100,5.82,AR,1650591775
hilo,19.7297,-155.09,302.19,76,75,5.14,US,1650591776
bredasdorp,-34.5322,20.0403,289.06,80,92,2.51,ZA,1650591694
tuktoyaktuk,69.4541,-133.0374,259.15,78,20,3.6,CA,1650591752
marcona,,,,,,,,
puerto leguizamo,-0.1934,-74.7819,295.2,98,58,0.92,CO,1650591776
vila velha,-20.3297,-40.2925,296.45,90,20,1.03,BR,1650591684
ayan,56.45,138.1667,272.02,89,98,3.27,RU,1650591777
campbell river,50.0163,-125.2446,281.89,100,100,2.06,CA,1650591763
misratah,32.3754,15.0925,291.44,75,0,7.17,LY,1650591777
meulaboh,4.1363,96.1285,300.63,79,92,1.27,ID,1650591772
taolanaro,,,,,,,,
lebu,-37.6167,-73.65,284.95,96,100,2.79,CL,1650591778
hobart,-42.8794,147.3294,288.29,54,75,4.63,AU,1650591758
albany,42.6001,-73.9662,285.51,60,72,0.45,US,1650591473
new norfolk,-42.7826,147.0587,288.1,52,100,1.34,AU,1650591775
astana,51.1801,71.446,275.12,87,75,6,KZ,1650591779
rawson,-43.3002,-65.1023,286.42,66,100,8.61,AR,1650591768
samusu,,,,,,,,
avarua,-21.2078,-159.775,300.18,57,100,7.2,CK,1650591779
norman wells,65.282,-126.8329,273.17,51,75,3.09,CA,1650591689
cape town,-33.9258,18.4232,289.77,89,75,6.17,ZA,1650591463
vaitupu,,,,,,,,
micheweni,-4.9667,39.8333,299.47,80,100,3.51,TZ,1650591685
mehamn,71.0357,27.8492,277.13,97,100,7.89,NO,1650591520
jamestown,42.097,-79.2353,285.92,59,0,4.63,US,1650591632
aripuana,-9.1667,-60.6333,295.61,99,84,0.44,BR,1650591781
mecca,21.4267,39.8261,299.84,54,8,1.74,SA,1650591631
bambous virieux,-20.3428,57.7575,297.71,88,40,2.06,MU,1650591781
amderma,,,,,,,,
san quintin,30.4833,-115.95,288.93,77,3,6.67,MX,1650591782
bengkulu,-3.8004,102.2655,301.23,68,67,0.94,ID,1650591781
bethel,41.3712,-73.414,284.62,71,100,1.79,US,1650591756
port alfred,-33.5906,26.891,291.03,95,62,1.79,ZA,1650591744
khatanga,71.9667,102.5,262.15,89,94,4.91,RU,1650591783
butaritari,3.0707,172.7902,300.63,79,92,6.92,KI,1650591677
nikolskoye,59.7035,30.7861,278.6,93,22,1.14,RU,1650591775
mao,39.8885,4.2658,286.46,88,75,3.09,ES,1650591783
upernavik,72.7868,-56.1549,261.03,91,100,4.65,GL,1650591784
monrovia,6.3005,-10.7969,300.06,85,100,2.45,LR,1650591558
esso,55.9333,158.7,272.16,73,93,2.71,RU,1650591784
maymanak,,,,,,,,
matagami,49.7502,-77.6328,275.21,93,100,4.63,CA,1650591708
mar del plata,-38.0023,-57.5575,288.64,63,75,3.09,AR,1650591483
gat,31.61,34.7642,290.59,73,100,2.39,IL,1650591785
pisco,-13.7,-76.2167,292.18,82,0,8.23,PE,1650591785
ribeira grande,38.5167,-28.7,287.16,68,100,7.93,PT,1650591782
glendive,47.1053,-104.7125,279.94,62,0,9.77,US,1650591786
chicama,-7.8447,-79.1469,290.45,78,67,3.49,PE,1650591786
tarko-sale,64.9225,77.785,258.79,93,66,2.14,RU,1650591666
rikitea,-23.1203,-134.9692,295.54,83,100,5.99,PF,1650591462
krivosheino,57.3431,83.9261,270.7,95,100,6.01,RU,1650591787
tiksi,71.6872,128.8694,265.57,91,99,2.86,RU,1650591787
shingu,33.7333,135.9833,296.27,57,12,2.18,JP,1650591787
vostok,46.4856,135.8833,287.66,40,100,3.55,RU,1650591782
bud,39.447,-86.1758,290.14,84,100,1.64,US,1650591788
georgetown,5.4112,100.3354,301.12,84,20,2.24,MY,1650591703
cabo san lucas,22.8909,-109.9124,298.76,59,4,3.58,MX,1650591756
saint-philippe,-21.3585,55.7679,297.92,88,53,4.62,RE,1650591753
chuy,-33.6971,-53.4616,288.27,82,55,1.71,UY,1650591752
nsanje,-16.92,35.262,294.95,98,100,1.79,MW,1650591789
codrington,-38.2667,141.9667,287.97,58,72,6.97,AU,1650591759
attawapiskat,,,,,,,,
sitka,57.0531,-135.33,282.09,71,40,4.12,US,1650591685
kapaa,22.0752,-159.319,301.14,87,75,6.69,US,1650591474
dargaville,-35.9333,173.8833,292.27,77,75,7.76,NZ,1650591789
alofi,-19.0595,-169.9187,301.09,78,100,2.57,NU,1650591776
thompson,55.7435,-97.8558,276.24,28,20,2.57,CA,1650591554
tawkar,,,,,,,,
yellowknife,62.456,-114.3525,273.46,47,20,4.63,CA,1650591766
pevek,69.7008,170.3133,268.27,85,15,3.95,RU,1650591755
hermanus,-34.4187,19.2345,288.99,87,98,3.13,ZA,1650591470
cidreira,-30.1811,-50.2056,293.12,81,100,2.56,BR,1650591707
mizdah,31.4451,12.9801,288.71,28,0,2.08,LY,1650591790
carnarvon,-24.8667,113.6333,300.19,34,52,4.12,AU,1650591785
